record_id,player_id,team_name,player_role,map_played,match_type,kills,assists,deaths,accuracy_percent,reaction_time_ms,fatigue_index,performance_score,win_probability,match_outcome,mvp_award,kda_ratio,kill_death_diff,is_mvp
1,160,titan esports,flex,dust arena,playoff,18.0,6.0,7.0,40.43,192.28,0.52,50.02,0.83,win,no,3.4285714285714284,11.0,0
2,2,titan esports,support,neon city,final,16.0,7.0,11.0,40.5,201.98,0.68,41.45,0.89,win,no,2.090909090909091,5.0,0
3,468,team alpha,support,neon city,semi-final,14.0,7.0,15.0,36.93,172.5,0.27,35.77,0.81,win,no,1.4,-1.0,0
4,447,team nova,igl,desert storm,final,12.0,6.0,13.0,53.46,246.83,0.07,43.03,1.0,win,no,1.3846153846153846,-1.0,0
5,196,phantom squad,sniper,skyline,playoff,13.0,9.0,13.0,44.71,266.94,0.52,39.16,0.85,win,no,1.6923076923076923,0.0,0
6,173,team alpha,sniper,frozen base,qualifier,9.0,8.0,8.0,44.51,247.46,0.8,32.25,0.86,win,no,2.125,1.0,0
7,384,team nova,sniper,desert storm,semi-final,15.0,7.0,10.0,41.84,211.33,0.34,44.52,0.93,win,no,2.2,5.0,0
8,47,team nova,igl,desert storm,final,15.0,7.0,11.0,48.23,214.23,0.14,48.71,1.0,win,no,2.0,4.0,0
9,108,red vortex,sniper,dust arena,qualifier,12.0,9.0,7.0,58.65,246.21,0.02,55.12,0.9,win,no,3.0,5.0,0
10,32,phantom squad,flex,desert storm,playoff,17.0,8.0,10.0,45.55,210.27,0.9,45.77,0.94,win,no,2.5,7.0,0
11,160,red vortex,flex,dust arena,qualifier,21.0,10.0,12.0,46.4,183.49,0.69,56.3,0.94,win,no,2.5833333333333335,9.0,0
12,493,team alpha,entry fragger,frozen base,qualifier,18.0,9.0,13.0,50.25,212.06,0.2,55.12,1.0,win,no,2.076923076923077,5.0,0
13,295,titan esports,flex,dust arena,playoff,18.0,7.0,16.0,41.38,243.31,0.39,43.79,0.89,win,no,1.5625,2.0,0
14,354,team alpha,entry fragger,dust arena,semi-final,11.0,12.0,8.0,51.85,229.13,0.91,42.82,0.95,win,no,2.875,3.0,0
15,315,phantom squad,support,frozen base,group stage,15.0,9.0,10.0,50.49,171.62,0.03,53.95,0.95,win,no,2.4,5.0,0
16,298,team alpha,sniper,dust arena,playoff,15.0,4.0,10.0,42.32,159.25,0.8,37.16,0.89,win,no,1.9,5.0,0
17,114,phantom squad,flex,dust arena,final,12.0,6.0,6.0,59.12,232.15,0.66,46.96,1.0,win,no,3.0,6.0,0
18,84,titan esports,igl,skyline,qualifier,16.0,4.0,3.0,58.21,233.31,0.47,57.41,1.0,win,no,6.666666666666667,13.0,0
19,221,titan esports,support,frozen base,qualifier,9.0,6.0,9.0,54.31,220.31,0.66,35.55,0.84,win,no,1.6666666666666667,0.0,0
20,444,titan esports,flex,neon city,group stage,16.0,9.0,12.0,45.49,246.55,0.02,51.55,0.97,win,no,2.0833333333333335,4.0,0
21,36,red vortex,flex,dust arena,semi-final,19.0,11.0,9.0,49.38,213.93,0.86,56.09,1.0,win,no,3.3333333333333335,10.0,0
22,115,titan esports,igl,dust arena,group stage,18.0,8.0,17.0,41.48,195.45,0.29,44.84,1.0,win,no,1.5294117647058822,1.0,0
23,264,team alpha,support,skyline,group stage,13.0,7.0,15.0,49.91,260.74,0.1,41.95,0.94,win,no,1.3333333333333333,-2.0,0
24,348,phantom squad,igl,desert storm,qualifier,17.0,9.0,13.0,40.94,245.73,0.11,49.37,0.98,win,no,2.0,4.0,0
25,404,red vortex,flex,frozen base,playoff,15.0,4.0,12.0,44.13,232.05,0.29,41.16,0.88,win,no,1.5833333333333333,3.0,0
26,281,phantom squad,flex,neon city,playoff,25.0,9.0,12.0,48.66,256.01,0.9,62.33,1.0,win,yes,2.8333333333333335,13.0,1
27,160,titan esports,sniper,skyline,group stage,6.0,9.0,12.0,52.6,202.69,0.68,28.5,0.86,win,no,1.25,-6.0,0
28,375,team alpha,flex,dust arena,semi-final,14.0,4.0,11.0,56.81,216.56,0.41,45.3,1.0,win,no,1.6363636363636365,3.0,0
29,126,phantom squad,igl,dust arena,group stage,12.0,14.0,11.0,47.66,197.55,0.52,45.63,0.97,win,no,2.3636363636363638,1.0,0
30,457,team nova,igl,neon city,playoff,20.0,7.0,7.0,57.41,168.07,0.44,64.3,1.0,win,yes,3.857142857142857,13.0,1
31,44,cyberx,flex,skyline,semi-final,21.0,12.0,8.0,44.02,217.74,0.13,66.71,1.0,win,yes,4.125,13.0,1
32,116,team nova,support,dust arena,qualifier,11.0,6.0,8.0,37.48,176.98,0.36,35.14,0.83,win,no,2.125,3.0,0
33,99,team nova,support,skyline,final,15.0,6.0,8.0,39.11,237.39,0.21,45.45,0.93,win,no,2.625,7.0,0
34,306,team nova,support,dust arena,qualifier,16.0,8.0,9.0,26.58,195.68,0.38,40.49,0.81,win,no,2.6666666666666665,7.0,0
35,490,team nova,support,neon city,group stage,11.0,10.0,6.0,56.17,180.71,0.57,48.39,0.84,win,no,3.5,5.0,0
36,4,cyberx,igl,neon city,group stage,9.0,5.0,5.0,49.5,202.7,0.17,41.05,0.99,win,no,2.8,4.0,0
37,468,red vortex,entry fragger,desert storm,semi-final,16.0,7.0,11.0,35.89,228.03,0.48,41.15,0.85,win,no,2.090909090909091,5.0,0
38,316,phantom squad,igl,frozen base,final,13.0,9.0,6.0,45.38,222.6,0.57,45.99,0.94,win,no,3.6666666666666665,7.0,0
39,130,titan esports,igl,dust arena,group stage,19.0,9.0,13.0,39.59,153.09,0.3,50.8,1.0,win,no,2.1538461538461537,6.0,0
40,133,cyberx,igl,desert storm,semi-final,12.0,9.0,11.0,58.41,225.46,0.15,49.7,1.0,win,no,1.9090909090909092,1.0,0
41,16,team alpha,entry fragger,frozen base,semi-final,13.0,7.0,14.0,55.3,206.66,0.15,45.15,1.0,win,no,1.4285714285714286,-1.0,0
42,216,phantom squad,flex,desert storm,final,18.0,10.0,11.0,37.62,213.91,0.87,45.11,0.96,win,no,2.5454545454545454,7.0,0
43,23,team nova,flex,dust arena,playoff,22.0,11.0,6.0,45.45,252.83,0.59,65.82,1.0,win,yes,5.5,16.0,1
44,306,team nova,igl,skyline,group stage,13.0,3.0,15.0,43.93,258.1,0.45,31.47,0.73,win,no,1.0666666666666667,-2.0,0
45,22,cyberx,sniper,dust arena,qualifier,11.0,8.0,12.0,38.61,215.06,1.0,27.3,1.0,win,no,1.5833333333333333,-1.0,0
46,279,titan esports,sniper,desert storm,final,8.0,4.0,10.0,45.47,261.66,0.44,28.34,0.52,loss,no,1.2,-2.0,0
47,108,phantom squad,entry fragger,frozen base,group stage,14.0,8.0,6.0,44.29,220.9,0.22,49.94,1.0,win,no,3.6666666666666665,8.0,0
48,72,phantom squad,entry fragger,frozen base,group stage,19.0,9.0,8.0,35.97,229.78,0.42,52.78,0.9,win,no,3.5,11.0,0
49,7,team alpha,flex,desert storm,playoff,13.0,10.0,14.0,45.91,224.51,0.43,40.66,1.0,win,no,1.6428571428571428,-1.0,0
50,340,phantom squad,support,desert storm,qualifier,12.0,7.0,11.0,50.38,280.17,0.83,36.89,0.94,win,no,1.7272727272727273,1.0,0
51,439,team alpha,flex,dust arena,group stage,11.0,11.0,5.0,40.11,177.8,0.29,45.16,1.0,win,no,4.4,6.0,0
52,410,phantom squad,flex,desert storm,final,12.0,7.0,11.0,37.93,209.43,0.08,38.17,0.91,win,no,1.7272727272727273,1.0,0
53,112,red vortex,sniper,skyline,final,18.0,9.0,15.0,44.4,238.62,0.19,50.3,1.0,win,no,1.8,3.0,0
54,357,team alpha,sniper,neon city,qualifier,17.0,9.0,10.0,45.96,206.04,0.83,47.68,1.0,win,no,2.6,7.0,0
